model,eval_month,month_num,wmape,evaluation_rows,unique_skus,tuning
chronos_2_erratic_features,2024-10-01,1,70.02157478494046,380,380,Foundation Model
chronos_2_erratic_features,2024-11-01,2,65.36967406930154,381,381,Foundation Model
chronos_2_erratic_features,2024-12-01,3,63.65204654513121,381,381,Foundation Model
chronos_2_erratic_features,2025-01-01,4,45.61736327503688,381,381,Foundation Model
chronos_2_erratic_features,2025-02-01,5,50.25539897001433,382,382,Foundation Model
chronos_2_erratic_features,2025-03-01,6,49.91373503617575,384,384,Foundation Model
chronos_2_erratic_features,2025-04-01,7,47.16700450952231,391,391,Foundation Model
chronos_2_erratic_features,2025-05-01,8,35.383247472599585,394,394,Foundation Model
chronos_2_erratic_features,2025-06-01,9,38.538099028315486,396,396,Foundation Model
chronos_2_erratic_features,2025-07-01,10,32.95216891390571,396,396,Foundation Model
chronos_2_erratic_features,2025-08-01,11,39.36750789721459,396,396,Foundation Model
chronos_2_erratic_features,2025-09-01,12,48.73498436946466,396,396,Foundation Model
chronos_2_erratic_features,2025-10-01,13,45.33805376127921,396,396,Foundation Model
chronos_2_erratic_features,2025-11-01,14,46.53313277390747,396,396,Foundation Model
chronos_2_erratic_features,2025-12-01,15,34.30169243974589,396,396,Foundation Model
chronos_2_erratic_features,2026-01-01,16,93.87986096419534,396,396,Foundation Model
chronos_2_erratic_features,2026-02-01,17,39.77536045315714,396,396,Foundation Model
chronos_2_erratic_features,2026-03-01,18,92.30526455201691,396,396,Foundation Model
chronos_2_erratic_features,2026-04-01,19,81.20726950095587,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2024-10-01,1,70.02157478494046,380,380,Foundation Model
chronos_2_erratic_features_plus_external,2024-11-01,2,65.36967406930154,381,381,Foundation Model
chronos_2_erratic_features_plus_external,2024-12-01,3,55.8703631187273,381,381,Foundation Model
chronos_2_erratic_features_plus_external,2025-01-01,4,45.91253654603995,381,381,Foundation Model
chronos_2_erratic_features_plus_external,2025-02-01,5,47.052264716265235,382,382,Foundation Model
chronos_2_erratic_features_plus_external,2025-03-01,6,48.49977668281963,384,384,Foundation Model
chronos_2_erratic_features_plus_external,2025-04-01,7,36.23834013245545,391,391,Foundation Model
chronos_2_erratic_features_plus_external,2025-05-01,8,33.47845872538053,394,394,Foundation Model
chronos_2_erratic_features_plus_external,2025-06-01,9,38.378109729276666,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2025-07-01,10,32.93229221062901,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2025-08-01,11,37.01788287658154,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2025-09-01,12,41.14733384773033,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2025-10-01,13,32.89926996163545,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2025-11-01,14,34.96204121017149,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2025-12-01,15,31.77160272376389,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2026-01-01,16,31.208661280945666,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2026-02-01,17,34.10571042321566,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2026-03-01,18,43.95449293557342,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2026-04-01,19,32.226574827350966,396,396,Foundation Model
chronos_t5_tiny,2024-10-01,1,65.67869326053746,380,380,Foundation Model
chronos_t5_tiny,2024-11-01,2,71.98736865662934,381,381,Foundation Model
chronos_t5_tiny,2024-12-01,3,76.4768846784742,381,381,Foundation Model
chronos_t5_tiny,2025-01-01,4,72.1247369824908,381,381,Foundation Model
chronos_t5_tiny,2025-02-01,5,81.9883969861158,382,382,Foundation Model
chronos_t5_tiny,2025-03-01,6,70.11785386616,384,384,Foundation Model
chronos_t5_tiny,2025-04-01,7,61.80530219098886,391,391,Foundation Model
chronos_t5_tiny,2025-05-01,8,69.847540437652,394,394,Foundation Model
chronos_t5_tiny,2025-06-01,9,79.58880114072375,396,396,Foundation Model
chronos_t5_tiny,2025-07-01,10,70.31821452326598,396,396,Foundation Model
chronos_t5_tiny,2025-08-01,11,70.64221442730572,396,396,Foundation Model
chronos_t5_tiny,2025-09-01,12,78.22569463876044,396,396,Foundation Model
chronos_t5_tiny,2025-10-01,13,67.86495034284013,396,396,Foundation Model
chronos_t5_tiny,2025-11-01,14,78.58539952843073,396,396,Foundation Model
chronos_t5_tiny,2025-12-01,15,62.49943297125103,396,396,Foundation Model
chronos_t5_tiny,2026-01-01,16,71.87815086046855,396,396,Foundation Model
chronos_t5_tiny,2026-02-01,17,72.7838306983651,396,396,Foundation Model
chronos_t5_tiny,2026-03-01,18,66.51804405186778,396,396,Foundation Model
chronos_t5_tiny,2026-04-01,19,73.38319154549335,396,396,Foundation Model
