model,eval_month,month_num,wmape,evaluation_rows,unique_skus
xgboost,2024-10-01,1,100.05649671394931,380,380
xgboost,2024-11-01,2,97.4937500937237,381,381
xgboost,2024-12-01,3,99.03563377552872,381,381
xgboost,2025-01-01,4,98.1242903202448,381,381
xgboost,2025-02-01,5,97.81444311396491,382,382
xgboost,2025-03-01,6,98.32559124123856,384,384
xgboost,2025-04-01,7,97.98705672012883,391,391
xgboost,2025-05-01,8,98.2902088536454,394,394
xgboost,2025-06-01,9,98.5177350212506,396,396
xgboost,2025-07-01,10,97.83638257013807,396,396
xgboost,2025-08-01,11,97.26756579857422,396,396
xgboost,2025-09-01,12,98.38914095736678,396,396
xgboost,2025-10-01,13,98.3581419969543,396,396
xgboost,2025-11-01,14,98.44078054032533,396,396
xgboost,2025-12-01,15,98.28779759552823,396,396
xgboost,2026-01-01,16,97.65248711256014,396,396
xgboost,2026-02-01,17,98.09355601488315,396,396
xgboost,2026-03-01,18,97.7259175924986,396,396
xgboost,2026-04-01,19,96.91548098073818,396,396
lightgbm,2024-10-01,1,99.599537996608,380,380
lightgbm,2024-11-01,2,97.13638677524116,381,381
lightgbm,2024-12-01,3,98.57078434291545,381,381
lightgbm,2025-01-01,4,98.05110165886263,381,381
lightgbm,2025-02-01,5,97.5990762740612,382,382
lightgbm,2025-03-01,6,95.3166318887903,384,384
lightgbm,2025-04-01,7,96.58049987998403,391,391
lightgbm,2025-05-01,8,95.34843992834548,394,394
lightgbm,2025-06-01,9,98.3396574476107,396,396
lightgbm,2025-07-01,10,97.5894607002258,396,396
lightgbm,2025-08-01,11,96.98239035263367,396,396
lightgbm,2025-09-01,12,96.00858879432867,396,396
lightgbm,2025-10-01,13,97.39461756629547,396,396
lightgbm,2025-11-01,14,98.2451685330806,396,396
lightgbm,2025-12-01,15,97.92032730880176,396,396
lightgbm,2026-01-01,16,97.93444099703392,396,396
lightgbm,2026-02-01,17,98.60389328217943,396,396
lightgbm,2026-03-01,18,97.92621309311491,396,396
lightgbm,2026-04-01,19,97.29727748705241,396,396
random_forest,2024-10-01,1,100.60937783748697,380,380
random_forest,2024-11-01,2,95.58913543066627,381,381
random_forest,2024-12-01,3,97.7068411030642,381,381
random_forest,2025-01-01,4,96.68859581730288,381,381
random_forest,2025-02-01,5,96.79546834360721,382,382
random_forest,2025-03-01,6,95.97120601309092,384,384
random_forest,2025-04-01,7,96.87314494378822,391,391
random_forest,2025-05-01,8,95.8308114076943,394,394
random_forest,2025-06-01,9,97.22326207695725,396,396
random_forest,2025-07-01,10,99.31914731645924,396,396
random_forest,2025-08-01,11,98.04927943402498,396,396
random_forest,2025-09-01,12,98.15338860203366,396,396
random_forest,2025-10-01,13,99.03772031799862,396,396
random_forest,2025-11-01,14,99.32461428627215,396,396
random_forest,2025-12-01,15,99.51710552368458,396,396
random_forest,2026-01-01,16,99.80861638248385,396,396
random_forest,2026-02-01,17,99.79455550345922,396,396
random_forest,2026-03-01,18,99.64989271023347,396,396
random_forest,2026-04-01,19,99.62333260486234,396,396
lumpy_hurdle,2024-10-01,1,99.8320503996023,380,380
lumpy_hurdle,2024-11-01,2,99.11511357916628,381,381
lumpy_hurdle,2024-12-01,3,100.0,381,381
lumpy_hurdle,2025-01-01,4,100.0,381,381
lumpy_hurdle,2025-02-01,5,100.0,382,382
lumpy_hurdle,2025-03-01,6,100.0,384,384
lumpy_hurdle,2025-04-01,7,100.0,391,391
lumpy_hurdle,2025-05-01,8,100.0,394,394
lumpy_hurdle,2025-06-01,9,100.0,396,396
lumpy_hurdle,2025-07-01,10,100.0,396,396
lumpy_hurdle,2025-08-01,11,100.0,396,396
lumpy_hurdle,2025-09-01,12,100.0,396,396
lumpy_hurdle,2025-10-01,13,100.0,396,396
lumpy_hurdle,2025-11-01,14,100.0,396,396
lumpy_hurdle,2025-12-01,15,100.0,396,396
lumpy_hurdle,2026-01-01,16,100.0,396,396
lumpy_hurdle,2026-02-01,17,100.0,396,396
lumpy_hurdle,2026-03-01,18,100.0,396,396
lumpy_hurdle,2026-04-01,19,100.0,396,396
