model,eval_month,month_num,wmape,evaluation_rows,unique_skus
xgboost,2024-10-01,1,87.85151899618083,380,380
xgboost,2024-11-01,2,82.21019751056589,381,381
xgboost,2024-12-01,3,89.29159427054873,381,381
xgboost,2025-01-01,4,81.75528739926607,381,381
xgboost,2025-02-01,5,102.11720665604432,382,382
xgboost,2025-03-01,6,96.53653133599485,384,384
xgboost,2025-04-01,7,74.06467598425075,391,391
xgboost,2025-05-01,8,74.79228649809102,394,394
xgboost,2025-06-01,9,84.74066313093172,396,396
xgboost,2025-07-01,10,84.30993210709671,396,396
xgboost,2025-08-01,11,113.94113061655047,396,396
xgboost,2025-09-01,12,104.72687630445708,396,396
xgboost,2025-10-01,13,71.88760022248476,396,396
xgboost,2025-11-01,14,77.52807126405213,396,396
xgboost,2025-12-01,15,83.05493309904412,396,396
xgboost,2026-01-01,16,81.67074458149897,396,396
xgboost,2026-02-01,17,86.4431511322149,396,396
xgboost,2026-03-01,18,107.0185919256425,396,396
xgboost,2026-04-01,19,98.11524200841363,396,396
lightgbm,2024-10-01,1,89.31580412064706,380,380
lightgbm,2024-11-01,2,83.3759555834424,381,381
lightgbm,2024-12-01,3,89.0821298642041,381,381
lightgbm,2025-01-01,4,92.80729759793631,381,381
lightgbm,2025-02-01,5,107.17686986533266,382,382
lightgbm,2025-03-01,6,98.00962784139892,384,384
lightgbm,2025-04-01,7,79.98782812552753,391,391
lightgbm,2025-05-01,8,78.51982882140896,394,394
lightgbm,2025-06-01,9,84.01582329748976,396,396
lightgbm,2025-07-01,10,83.89986158697953,396,396
lightgbm,2025-08-01,11,119.61867885444117,396,396
lightgbm,2025-09-01,12,107.70354145025576,396,396
lightgbm,2025-10-01,13,74.942342132121,396,396
lightgbm,2025-11-01,14,75.71545337254506,396,396
lightgbm,2025-12-01,15,83.90886408015581,396,396
lightgbm,2026-01-01,16,91.30493806136664,396,396
lightgbm,2026-02-01,17,83.78882626642618,396,396
lightgbm,2026-03-01,18,112.19047229368091,396,396
lightgbm,2026-04-01,19,95.12682666425515,396,396
random_forest,2024-10-01,1,89.60508441758368,380,380
random_forest,2024-11-01,2,81.75019956055868,381,381
random_forest,2024-12-01,3,84.83213624122166,381,381
random_forest,2025-01-01,4,88.86342641423964,381,381
random_forest,2025-02-01,5,105.9194160715937,382,382
random_forest,2025-03-01,6,94.23659269227504,384,384
random_forest,2025-04-01,7,77.46089454789914,391,391
random_forest,2025-05-01,8,76.59957671944362,394,394
random_forest,2025-06-01,9,82.26903239552146,396,396
random_forest,2025-07-01,10,81.55436930779636,396,396
random_forest,2025-08-01,11,114.46309910577747,396,396
random_forest,2025-09-01,12,98.22951919510766,396,396
random_forest,2025-10-01,13,73.39770852150895,396,396
random_forest,2025-11-01,14,75.7958380684251,396,396
random_forest,2025-12-01,15,78.45353354425406,396,396
random_forest,2026-01-01,16,88.31298768160674,396,396
random_forest,2026-02-01,17,81.89810723081901,396,396
random_forest,2026-03-01,18,108.31454841811983,396,396
random_forest,2026-04-01,19,93.39577751134158,396,396
